ID,GAME,RATING,TIME,MIN PLAYERS,MAX PLAYERS,REC PLAYERS,MECHANICS,DEMO,WANTS TO PLAY,OWNS,PLAYED,BGG LINK
16747,Tumblin-Dice,7.16343,30,1,4,4,Dice Rolling,,,,,https://boardgamegeek.com/boardgame/16747
114784,Rhein: River Trade,6.31885,120,2,5,4,"Auction/Bidding, Card Drafting, Pick-up and Deliver",,,,,https://boardgamegeek.com/boardgame/114784
168609,"Artifacts, Inc.",6.93821,60,2,4,2,"Action Point Allowance System, Area Control / Area Influence, Card Drafting, Dice Rolling, Set Collection",,,,,https://boardgamegeek.com/boardgame/168609
159969,Microvores,6.93333,45,2,4,,"Action Point Allowance System, Dice Rolling, Grid Movement, Simulation, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/159969
145203,Prosperity,6.7903,60,2,4,3,"Card Drafting, Tile Placement",,,,,https://boardgamegeek.com/boardgame/145203
104955,Antike Duellum,7.20786,75,2,2,2,"Area Control / Area Influence, Area Movement, Hand Management",,,,,https://boardgamegeek.com/boardgame/104955
22460,Longhorn,6,80,2,4,,"Area Movement, Card Drafting, Dice Rolling, Pick-up and Deliver",,,,,https://boardgamegeek.com/boardgame/22460
11542,Eclipse,6.3056,15,2,2,2,,,,,,https://boardgamegeek.com/boardgame/11542
139976,Cthulhu Wars,8.03401,120,3,4,4,"Action Point Allowance System, Area Movement, Dice Rolling, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/139976
142296,Funemployed,7.05365,30,3,20,5,"Acting, Card Drafting, Role Playing, Storytelling",,,,,https://boardgamegeek.com/boardgame/142296
180899,Ponzi Scheme,7.34661,90,3,5,4,"Card Drafting, Set Collection, Stock Holding, Trading",,,,,https://boardgamegeek.com/boardgame/180899
33087,Renaissance Man,3,40,2,4,,"Dice Rolling, Set Collection",,,,,https://boardgamegeek.com/boardgame/33087
22667,Tower,5.5,15,2,6,,Betting/Wagering,,,,,https://boardgamegeek.com/boardgame/22667
131449,Captains of Industry,7.20063,150,3,5,5,"Area Control / Area Influence, Auction/Bidding, Commodity Speculation",,,,,https://boardgamegeek.com/boardgame/131449
198994,Hero Realms,7.86739,30,1,4,2,"Card Drafting, Deck / Pool Building, Hand Management",,,,,https://boardgamegeek.com/boardgame/198994
152174,Pressure Cooker,6.32897,45,2,4,3,"Pattern Recognition, Pick-up and Deliver, Set Collection",,,,,https://boardgamegeek.com/boardgame/152174
163929,Coconuts Duo,7.15166,20,2,2,2,,,,,,https://boardgamegeek.com/boardgame/163929
154892,Loonacy,6.38551,10,2,5,4,Pattern Recognition,,,,,https://boardgamegeek.com/boardgame/154892
225482,Strife,9,60,3,6,,Trick-taking,,,,,https://boardgamegeek.com/boardgame/225482
181345,Dr. Eureka,6.82403,15,1,4,3,Pattern Building,,,,,https://boardgamegeek.com/boardgame/181345
198456,Motion Pictures: Movies Out of Cardboard,6.73719,45,2,4,,"Deck / Pool Building, Hand Management, Set Collection",,,,,https://boardgamegeek.com/boardgame/198456
21763,Mr. Jack,7.08563,30,2,2,2,"Grid Movement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/21763
172220,Dungeons & Dragons: Temple of Elemental Evil Board Game,7.5235,60,1,5,3,"Co-operative Play, Dice Rolling, Grid Movement, Modular Board, Role Playing, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/172220
150930,Mad City,6.27441,30,1,6,4,Tile Placement,,,,,https://boardgamegeek.com/boardgame/150930
129126,Temporum,6.53333,75,2,4,,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/129126
172225,Exploding Kittens,5.84693,15,2,5,4,"Hand Management, Player Elimination, Press Your Luck, Set Collection, Take That",,,,,https://boardgamegeek.com/boardgame/172225
65244,Forbidden Island,6.85755,30,2,4,4,"Action Point Allowance System, Co-operative Play, Grid Movement, Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/65244
176606,"Rattle, Battle, Grab the Loot",6.46557,60,2,5,4,Dice Rolling,,,,,https://boardgamegeek.com/boardgame/176606
193949,Star Trek: Ascendancy,7.80624,180,3,3,3,"Action Point Allowance System, Dice Rolling, Modular Board, Trading, Variable Phase Order, Variable Player Powers",,,,,https://boardgamegeek.com/boardgame/193949
203828,13 Minutes: The Cuban Missile Crisis,7.14715,13,2,2,2,"Area Control / Area Influence, Campaign / Battle Card Driven, Hand Management",,,,,https://boardgamegeek.com/boardgame/203828
165477,Orcs Orcs Orcs,6.55222,45,2,4,3,Deck / Pool Building,,,,,https://boardgamegeek.com/boardgame/165477
151251,Castle Crush!,6.66228,15,1,4,4,Pattern Building,,,,,https://boardgamegeek.com/boardgame/151251
814,Aquarius,5.96449,20,2,5,4,"Pattern Building, Tile Placement",,,,,https://boardgamegeek.com/boardgame/814
815,Chrononauts,6.22662,30,1,6,4,"Hand Management, Modular Board, Press Your Luck",,,,,https://boardgamegeek.com/boardgame/815
176334,Guns & Steel,6.58412,70,2,4,3,"Deck / Pool Building, Hand Management, Take That",,,,,https://boardgamegeek.com/boardgame/176334
143405,Sylvion,7.29435,30,1,2,1,"Card Drafting, Co-operative Play, Grid Movement, Hand Management",,,,,https://boardgamegeek.com/boardgame/143405
164338,The Golden Ages,7.38693,90,2,4,4,"Action Point Allowance System, Area Control / Area Influence, Card Drafting, Modular Board, Tile Placement",,,,,https://boardgamegeek.com/boardgame/164338
179266,Flip the Bird,4.875,40,2,4,,"Take That, Trick-taking",,,,,https://boardgamegeek.com/boardgame/179266
